wavelength,counts
893.23535,10417
893.52289,10524
893.81042,10519
894.0979,10592
894.38544,10765
894.67291,10769
894.96045,10868
895.24792,10898
895.53546,11031
895.82294,11062
896.11041,11152
896.39795,11241
896.68542,11306
896.9729,11418
897.26038,11521
897.54785,11723
897.83533,11807
898.1228,11814
898.41028,11886
898.69775,11990
898.98523,12183
899.27271,12238
899.56018,12342
899.84766,12319
900.13513,12521
900.42255,12595
900.71002,12701
900.9975,12873
901.28491,12955
901.57239,13001
901.8598,13196
902.14728,13232
902.43469,13359
902.72217,13442
903.00958,13590
903.297,13725
903.58447,13794
903.87189,13642
904.1593,13916
904.44672,14039
904.73419,14001
905.02161,14080
905.30902,14174
905.59644,14270
905.88385,14500
906.17126,14432
906.45868,14600
906.74603,14574
907.03345,14804
907.32086,14894
907.60828,14899
907.89569,15027
908.18304,15152
908.47046,15079
908.75781,15169
909.04523,15204
909.33258,15279
909.62,15324
909.90735,15412
910.19476,15496
910.48212,15437
910.76947,15691
911.05688,15741
911.34424,15822
911.63159,15834
911.91895,15883
912.2063,15972
912.49365,16094
912.78107,16028
913.06842,16222
913.35571,16167
913.64307,16231
913.93042,16205
914.21777,16286
914.50513,16476
914.79248,16516
915.07977,16411
915.36713,16516
915.65448,16640
915.94177,16644
916.22913,16689
916.51642,16669
916.80377,16950
917.09106,16904
917.37842,16894
917.66571,16979
917.953,16946
918.2403,17040
918.52765,17025
918.81494,17148
919.10223,17155
919.38953,17217
919.67682,17156
919.96411,17463
920.2514,17289
920.5387,17456
920.82599,17476
921.11328,17545
921.40057,17483
921.68787,17452
921.9751,17662
922.26239,17789
922.54968,17890
922.83691,17940
923.12421,17844
923.41144,18105
923.69873,18205
923.98596,18165
924.27325,18192
924.56049,18462
924.84772,18522
925.13501,18541
925.42224,18640
925.70947,18726
925.9967,18845
926.28394,18925
926.57117,19085
926.8584,19181
927.14563,19335
927.43286,19543
927.72009,19583
928.00732,19737
928.29456,19827
928.58179,19968
928.86902,20191
929.15619,20199
929.44342,20322
929.73059,20456
930.01782,20857
930.30505,20723
930.59222,21045
930.87946,21074
931.16663,21269
931.4538,21483
931.74103,21602
932.0282,21786
932.31537,21996
932.60254,22095
932.88977,22204
933.17694,22225
933.46411,22597
933.75128,22683
934.03845,22764
934.32562,23036
934.61279,23040
934.8999,23168
935.18707,23507
935.47424,23571
935.76141,23845
936.04852,23882
936.33569,24136
936.62286,24266
936.90997,24636
937.19714,24677
937.48425,24780
937.77142,24998
938.05853,25172
938.34564,25523
938.63281,25519
938.91992,25825
939.20703,25899
939.49414,26213
939.78131,26336
940.06842,26465
940.35553,26632
940.64264,26837
940.92975,26853
941.21686,27271
941.50391,27510
941.79102,27502
942.07813,27851
942.36523,28093
942.65234,28060
942.93939,28129
943.2265,28681
943.51355,28647
943.80066,28947
944.08771,29172
944.37482,29197
944.66187,29736
944.94897,29774
945.23602,30053
945.52307,30280
945.81012,30428
946.09723,30533
946.38428,30822
946.67133,31205
946.95837,31330
947.24542,31395
947.53247,31789
947.81952,31928
948.10657,32213
948.39362,32403
948.6806,32503
948.96765,32463
949.2547,32889
949.54169,32962
949.82874,33269
950.11578,33212
950.40277,33533
950.68982,33518
950.97681,33742
951.26379,33699
951.55084,33971
951.83783,34110
952.12482,34292
952.41187,34242
952.69885,34351
952.98584,34626
953.27283,34756
953.55981,34781
953.8468,34816
954.13379,34956
954.42078,34976
954.70776,34924
954.99475,35154
955.28168,34976
955.56866,35124
955.85565,35313
956.14258,35114
956.42957,34933
956.71655,35013
957.00348,35149
957.29047,34912
957.57739,34881
957.86432,34611
958.15131,34356
958.43823,34301
958.72516,34359
959.01208,34384
959.29907,34231
959.586,34162
959.87292,34046
960.15985,33891
960.44678,33969
960.7337,34226
961.02063,34325
961.3075,34728
961.59442,35172
961.88135,35321
962.16827,35674
962.45514,35844
962.74207,36297
963.02893,36578
963.31586,36620
963.60272,36658
963.88965,36767
964.17651,36643
964.46344,36632
964.75031,36409
965.03717,36009
965.32404,35850
965.6109,35549
965.89783,35172
966.18469,34726
966.47156,34225
966.75842,33818
967.04529,33276
967.33209,32632
967.61896,32245
967.90582,31693
968.19269,31331
968.47955,30821
968.76636,30255
969.05322,29532
969.34003,29001
969.62689,28744
969.9137,28312
970.20056,27572
970.48737,27286
970.77423,26643
971.06104,26063
971.34784,25714
971.63464,25344
971.92145,24770
972.20825,24425
972.49512,23787
972.78192,23545
973.06873,23173
973.35547,22617
973.64227,22426
973.92908,21856
974.21588,21501
974.50269,21341
974.78943,20861
975.07623,20390
975.36304,20118
975.64978,19837
975.93658,19525
976.22333,19275
976.51007,18991
976.79688,18853
977.08362,18526
977.37036,18408
977.65717,18197
977.94391,18098
978.23065,18091
978.5174,17822
978.80414,17795
979.09088,17663
979.37762,17576
979.66437,17504
979.95111,17391
980.23779,17317
980.52454,17305
980.81128,17145
981.09802,17246
981.3847,17074
981.67145,17139
981.95813,16976
982.24487,17135
982.53156,17140
982.8183,17124
983.10498,17242
983.39166,17236
983.67834,17476
983.96509,17423
984.25177,17422
984.53845,17504
984.82513,17541
985.11182,17409
985.3985,17539
985.68518,17421
985.9718,17560
986.25848,17658
986.54517,17680
986.83185,17801
987.11847,17917
987.40515,18277
987.69183,18206
987.97845,18542
988.26514,18822
988.55176,19109
988.83838,19373
989.12506,19663
989.41168,19982
989.6983,20074
989.98492,20552
990.27161,20834
990.55823,21043
990.84485,21259
991.13147,21488
991.41809,21799
991.70465,21926
991.99127,22225
992.27789,22466
992.56451,22846
992.85114,23055
993.1377,23285
993.42432,23591
993.71088,23822
993.9975,24169
994.28406,24342
994.57068,24582
994.85724,24918
995.1438,25173
995.43042,25459
995.71698,25613
996.00354,25883
996.2901,26222
996.57666,26342
996.86322,26577
997.14978,26791
997.43634,27037
997.7229,27026
998.00946,27405
998.29602,27431
998.58252,27554
998.86908,27788
999.15564,27926
999.44214,28033
999.7287,28329
1000.0152,28417
1000.3018,28516
1000.5883,28685
1000.8748,28694
1001.1613,28904
1001.4478,28947
1001.7343,29000
1002.0208,28980
1002.3073,29181
1002.5938,29458
1002.8803,29458
1003.1668,29486
1003.4533,29535
1003.7398,29797
1004.0263,29813
1004.3127,29909
1004.5992,30063
1004.8857,29979
1005.1722,30201
1005.4587,30378
